	Cross section of sclerenchyma fibers in plant ground tissue	0
0	Microscopic view of a histologic specimen of human lung tissue stained with hematoxylin and eosin .	0
1	In Biology , Tissue is a cellular organizational level intermediate between cells and a complete organism .	0
2	A tissue is an ensemble of similar cells from the same origin that together carry out a specific function .	0
3	Organs are then formed by the functional grouping together of multiple tissues .	0
4	The study of tissue is known as histology or , in connection with disease , histopathology .	0
5	The classical tools for studying tissues are the paraffin block in which tissue is embedded and then sectioned , the histological stain , and the optical microscope .	0
6	In the last couple of decades , developments in electron microscopy , immunofluorescence , and the use of frozen tissue sections have enhanced the detail that can be observed in tissues .	0
7	With these tools , the classical appearances of tissues can be examined in health and disease , enabling considerable refinement of clinical diagnosis and prognosis .	0
8	BMC Software , Inc. is an American company specializing in Business Service Management ( BSM ) software .	0
9	Headquartered in Houston , Texas , BMC develops , markets and sells software used for multiple functions , including IT service management , data center automation , performance management , virtualization lifecycle management and cloud computing management .	0
10	The name `` BMC '' is taken from the surnames of its three founders—Scott Boulette , John Moores , and Dan Cloer .	0
11	Employing over 6,000 , BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs .	1
12	For 2011 , the company recorded an annual revenue of $ 2.1 billion , making it the # 20 largest software company in terms of revenue for that year .	1
13	I Love Lucy is an American television sitcom starring Lucille Ball , Desi Arnaz , Vivian Vance , and William Frawley .	0
14	The black-and-white series originally ran from October 15 , 1951 , to May 6 , 1957 , on the Columbia Broadcasting System ( CBS ) .	1
15	After the series ended in 1957 , however , a modified version continued for three more seasons with 13 one-hour specials , running from 1957 to 1960 , known first as The Lucille Ball-Desi Arnaz Show and later in reruns as The Lucy–Desi Comedy Hour .	0
16	I Love Lucy was the most watched show in the United States in four of its six seasons , and was the first to end its run at the top of the Nielsen ratings ( an accomplishment later matched by The Andy Griffith Show and Seinfeld ) .	0
17	I Love Lucy is still syndicated in dozens of languages across the world .	0
18	The show was the first scripted television program to be shot on 35 mm film in front of a studio audience , and won five Emmy Awards and received numerous nominations .	0
19	In 2002 , it ranked second on TV Guide 's list of television 's greatest shows , behind Seinfeld and ahead of The Honeymooners .	0
20	In 2007 , it was listed as one of Time magazine 's `` 100 Best TV Shows of All-TIME . ''	0
21	I Love Lucy remains popular , with an American audience of 40 million each year .	0
22	Armando Pérez ( born January 15 , 1981 ) , better known by his stage name Pitbull , is an American rapper , songwriter , and record producer .	1
23	His first recorded performance was from the Lil Jon album Kings of Crunk in 2002 .	0
24	In 2004 , he released his debut album titled M.I.A.M.I . ( short for Money Is A Major Issue ) under TVT Records .	0
25	Since then , he has released three other albums under the label : El Mariel in 2006 , The Boatlift in 2007 , and Planet Pit in 2011 .	0
26	He released Rebelution in 2009 , which included singles `` I Know You Want Me ( Calle Ocho ) `` and `` Krazy `` .	0
